,comune,classificazione
299,Petralia Soprana,2
300,Petralia Sottana,2
301,Piana degli Albanesi,2
302,Polizzi Generosa,2
303,Pollina,2
304,Prizzi,2
305,Roccamena,2
306,Roccapalumba,2
307,San Cipirello,2
308,San Giuseppe Jato,2
309,San Mauro Castelverde,2
310,Santa Cristina Gela,2
311,Santa Flavia,2
312,Sciara,2
313,Sclafani Bagni,2
314,Termini Imerese,2
315,Terrasini,2
316,Torretta,2
317,Trabia,2
318,Trappeto,2
319,Ustica,2
320,Valledolmo,2
321,Ventimiglia di Sicilia,2
322,Vicari,2
323,Villabate,2
324,Villafrati,2
325,Scillato,2
326,Blufi,2
327,Agrigento,2
328,Alessandria della Rocca,2
329,Aragona,2
330,Bivona,2
331,Burgio,2
332,Calamonaci,2
333,Caltabellotta,2
334,Camastra,3
335,Cammarata,2
336,Campobello di Licata,3
337,Canicattì,3
338,Casteltermini,2
339,Castrofilippo,3
340,Cattolica Eraclea,2
341,Cianciana,2
342,Comitini,3
343,Favara,3
344,Grotte,3
345,Joppolo Giancaxio,2
346,Lampedusa e Linosa,4
347,Licata,3
348,Lucca Sicula,2
349,Menfi,1
350,Montallegro,2
351,Montevago,1
352,Naro,3
353,Palma di Montechiaro,3
354,Porto Empedocle,2
355,Racalmuto,3
356,Raffadali,2
357,Ravanusa,3
358,Realmonte,2
359,Ribera,2
360,Sambuca di Sicilia,2
361,San Biagio Platani,2
362,San Giovanni Gemini,2
363,Santa Elisabetta,2
364,Santa Margherita di Belice,1
365,Sant'Angelo Muxaro,2
366,Santo Stefano Quisquina,2
367,Sciacca,2
368,Siculiana,2
369,Villafranca Sicula,2
370,Agira,2
371,Aidone,2
372,Assoro,2
373,Barrafranca,3
374,Calascibetta,2
375,Catenanuova,2
376,Centuripe,2
377,Cerami,2
378,Enna,2
379,Gagliano Castelferrato,2
380,Leonforte,2
381,Nicosia,2
382,Nissoria,2
383,Piazza Armerina,2
384,Pietraperzia,3
385,Regalbuto,2
386,Sperlinga,2
387,Troina,2
388,Valguarnera Caropepe,2
389,Villarosa,2
390,Misiliscemi,2
